corpus;file;author;title;date;language;description;type;actors;topics;result
1,2;AOSIS_-_2012_-_Alliance_of_Small_Island_States_Leaders___Declaration___2012.pdf;AOSIS;Alliance of Small Island States Leaders ’ Declaration , 2012;2012;en;Small Islands Countries Declaration in preparation of the COP 18;Official Reports;Developing Countries,Industrialized Countries,International organizations,National stakeholder;Mitigation,Vulnerability,Adaptive capacity,Efficiency,Equity;Success and failure
1,2;AOSIS_-_2009_-_AOSIS_DECLARATION_ON_CLIMATE_CHANGE_2009.pdf;AOSIS;AOSIS DECLARATION ON CLIMATE CHANGE 2009;2009;en;Small Islands Countries Declaration in preparation of the COP 15;Official Reports;Developing Countries,Industrialized Countries,International organizations,National stakeholder;Mitigation,Vulnerability,Adaptive capacity,Efficiency,Equity;Success and failure
1,2;Climate_Vulnerable_Forum_-_Unknown_-_Climate_Vulnerable_Forum_Declaration_2_.pdf;Climate Vulnerable Forum;Climate Vulnerable Forum Declaration;;en;1st declaration of the CVF;Official Reports;Developing Countries,National stakeholder;Mitigation,Equity;NA
1,2;Climate_Vulnerable_Forum_-_2011_-_Climate_Vulnerable_Forum_-_DHAKA_DECLARATION.pdf;Climate Vulnerable Forum;Climate Vulnerable Forum - DHAKA DECLARATION;2011;en;3rd Declaration of the CVF;Official Reports;Developing Countries,National stakeholder;Mitigation,Equity;NA
1,2;Climate_Vulnerable_Forum_-_2010_-_Climate_Vulnerable_Forum_-_AMBO_DECLARATION.pdf;Climate Vulnerable Forum;Climate Vulnerable Forum - AMBO DECLARATION;2010;en;2nd Declaration of the CVF;Official Reports;Developing Countries,National stakeholder;Mitigation,Equity;NA
2;ENB_-_1996_-_SUMMARY_OF_THE_SECOND_CONFERENCE_OF_THE_PARTIES_TO_THE_FRAMEWORK_CONVENTION_ON_CLIMATE_CHANGE.pdf;ENB;SUMMARY OF THE SECOND CONFERENCE OF THE PARTIES TO THE FRAMEWORK CONVENTION ON CLIMATE CHANGE :;1996;en;1st COP UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_1996_-_SUBSIDIARY_BODIES_OF_THE_UN_FRAMEWORK_CONVENTION_ON_CLIMATE_CHANGE_A_BRIEF_HISTORY_OF_THE_FCCC_AND_ITS.pdf;ENB;SUBSIDIARY BODIES OF THE UN FRAMEWORK CONVENTION ON CLIMATE CHANGE : A BRIEF HISTORY OF THE FCCC AND ITS;1996;en;Ad Hoc Group on the Berlin Mandate (5th session);Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;NA
2;ENB_-_2012_-_Earth_Negotiations_Bulletin.pdf;ENB;Earth Negotiations Bulletin;2012;en;14th COP of the UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_1996_-_THE_AD_HOC_GROUP_ON_THE_BERLIN.pdf;ENB;THE AD HOC GROUP ON THE BERLIN;1996;en;Ad Hoc Group on the Berlin Mandate (3rd session);Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_1997_-_Earth_Negotiations_Bulletin_._._._._._._._._._._._._._._._._._._._._._._._._._._._._._.pdf;ENB;Earth Negotiations Bulletin . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;1997;en;3rd COP if the UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;NA
2;ENB_-_2003_-_Earth_Negotiations_Bulletin_._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._.pdf;ENB;Earth Negotiations Bulletin . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .;2003;en;9th COP of the UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_2001_-_Earth_Negotiations_Bulletin.pdf;ENB;Earth Negotiations Bulletin;2001;en;7th COP of the UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_2010_-_Earth_Negotiations_Bulletin.pdf;ENB;Earth Negotiations Bulletin;2010;en;16th COP of the UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_2011_-_Earth_Negotiations_Bulletin.pdf;ENB;Earth Negotiations Bulletin;2011;en;17th COP of the UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_Unknown_-_SESSION_OF_THE_INC_FOR_A_FRAMEWORK_CONVENTION_ON_CLIMATE_CHANGE.pdf;ENB;SESSION OF THE INC FOR A FRAMEWORK CONVENTION ON CLIMATE CHANGE :;1995;en;Ad Hoc Group on the Berlin Mandate (1st session);Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_1995_-_A_BRIEF_HISTORY_OF_THE_FRAMEWORK_CONVENTION_ON.pdf;ENB;A BRIEF HISTORY OF THE FRAMEWORK CONVENTION ON;1995;en;;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_2005_-_A_BRIEF_HISTORY_OF_THE_UNFCCC_AND.pdf;ENB;A BRIEF HISTORY OF THE UNFCCC AND;2005;en;UNFCCC seminar on the development and transfer of environmentally sound technologies for adaptation to climate change;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
2;ENB_-_1995_-_CONFERENCE_OF_THE_PARTIES_FOR_THE_FRAMEWORK_CONVENTION_ON_CLIMATE_CHANGE.pdf;ENB;CONFERENCE OF THE PARTIES FOR THE FRAMEWORK CONVENTION ON CLIMATE CHANGE :;1995;en;1st COP UNFCCC;Grey Literature;Developing Countries,Industrialized Countries,Emerging Countries,International organizations,National stakeholder,NGO,Private sector,Scientists,Media;Mitigation;Success and failure
