title,url,webentity_type,classifications_sitpol,classifications_ddc,specific_agents,specific_actor_type,descriptions@lang=fr,keywords@lang=fr,keywords@lang=en,creators@role=pbl,languages,publication_countries,rec_type_cerimes,target_audiences_cerimes,rec_created_use,notes@lang=fr
Internet sans frontières,http://www.internetsansfrontieres.com,Page d'accueil,numérique:numérique ; numérique:données publiques ; culture et communication:culture et communication ; société:droits de l’homme ; vie politique:citoyenneté,0,,association,"Site d'""Internet sans frontières"", association pour la promotion et la défense de la liberté d'expression sur internet.",Internet ; liberté d'expression ; politique numérique ; données publiques ; monde ; France ,Internet ; free speech ; public data ; public policy ; France,Internet sans frontières,fre,ZZ,13,11,DG,
Agence nationale de la sécurité des systèmes d'information - ANSSI,http://www.ssi.gouv.fr,Page d'accueil,numérique:numérique ; économie:innovation ; sécurité et défense:sécurité et défense,3,,institution,"Site de l'Agence nationale de sécurité des systèmes d'information (ANSSI), rataché au Premier Ministre. Prévention et bonnes pratiques ; guide d'hygiène informatique ; rencontres de cyber-sécurité",sécurité ; numérique ; information ; France,digital security ; France,ANSSI ; Premier Ministre,fre,FR,12,10,DG,
Geste - Groupement des éditeurs numériques,http://www.geste.fr,Page d'accueil,numérique,70,,association,"Le GESTE, groupement des éditeurs de contenus et de services en ligne, est une association créée en 1987 qui réunit les principaux acteurs du marché dans les secteurs de la presse, de la télévision, de la musique, des petites annonces, des sites communautaires et des jeux d’argent en ligne.",édition électronique ; numérique ; groupement ; droit d'auteur ; droit de copie ; France,online publishing ; digital industry ; copyright ; France,Geste,fre,FR,10,11,DG,
Hypothèses.org,http://hypotheses.org,Page d'accueil,éducation:éducation ; numérique:numérique ; société:société,300,,university,Carnet de recherche en Sciences humaines et sociales,Sciences sociales ; Recherche,Social Science ; Research,Centre pour l'édition électronique ouverte (Cléo),fre,FR,13,10,DG,
EspacesTemps.net,http://www.espacestemps.net,Page d'accueil,environnement:environnement ; société:société ; numérique:numérique,300,,think_tank,"Partant des sciences sociales à la rencontre d’autres disciplines, EspacesTemps.net explore les interfaces avec d’autres champs disciplinaires ― sciences expérimentales, ingénierie, architecture, philosophie, arts, etc. Plusieurs rubriques, notamment les dossiers des Traverses, offrent des regards croisés sur des questions en débat, nourris au gré des contributions.",Sciences sociales ; Philosophie ; Société,Social sciences ; Philosophy ; Society,EspacesTemps,fre,FR,10,10,DG,
PRESAGE : Programme de recherche et d'enseignement des savoirs sur le genre,http://presage-ofce.sciences-po.fr,Page spécifique,société:discriminations ; société:inégalité sociale ; politique sociale:politique sociale,300,,university,"Développé conjointement par l'OFCE et Sciences Po, Présage insère une réflexion sur le genre dans l'ensemble des activités de Sciences Po : enseignement, recherche et formation continue. Il adopte une approche transversale dans une démarche pluridisciplinaire. Il rassemble les deux pôles de la recherche sur les rapports sociaux de sexe : l'approche philosophique autour de la construction identitaire et l'approche socio-économique et historique de la construction des inégalités.
",Égalité hommes-femmes ; Femmes ; Recherche ; Enjeux ; France,Gender Equality ; Women studies ; Research ; France,PRESAGE - OFCE - Sciences Po,fre,ZZ,10,10,DG,
Cahiers de L'Urmis - Migrations et société,http://urmis.revues.org,Page spécifique,société:immigration  ; société:discriminations ; relations internationales:relations internationales,300,,university,"Publiés par l'Unité mixte de recherche ""Migrations et société"" (URMIS), associant l'Institut de Recherche pour le développement et les Universités Paris 7 Denis Diderot et Nice Sophia Antipolis, les Cahiers de l'Urmis regroupent des chercheurs de plusieurs disciplines (sociologie, anthropologie, science politique, histoire) et fournissent un espace de publication, d'échange et de confrontation aux recherches menées dans le champ des migrations et des relations interethniques.",Sciences sociales ; Science politique ; Migrations ; Relations interethniques ; Revues ; Recherche ; Enjeux ; France,Social sciences ; Political science ; Migrations ; racial relations ; Research ; Publications ; Issues ; France,Les Cahiers de l'Urmis,fre,FR,12,10,DG,Adhère à Revues.org
Observatoire des inégalités,http://www.inegalites.fr,Page d'accueil,société:inégalité sociale ; société:discriminations  ; politique sociale:politique sociale ; emploi:emploi,300,,institution,"Organisme indépendant d'information et d'analyse sur les inégalités. Outre l'équipe permanente, il s'appuie sur un réseau de citoyens sensibilisés par cette question. Il dispose d'un Conseil scientifique composé d'économistes, de philosophes, de sociologues et de juristes.",Inégalité sociale ; Données sociales ; Données économiques ; Enjeux ; Citoyen ; France,Social inequalities ; economical data ; social data ;  citizen ; Issues ; France,Observatoire des inégalités,fre,FR,10,11,DG,
Biblio SHS,http://biblioshs.inist.fr,Page d'accueil,,300,,university,Ressources documentaires en sciences humaines et sociales. Portail d'information scientifique des unités CNRS en sciences humaines et sociales.,Documentation ; Recherche ; Sciences humaines et sociales ; CNRS ; France,Documentation ; Research ; Social sciences ; France,CNRS - INIST,fre,FR,10,10,DG,
i-Revues (SHS),http://irevues.inist.fr/?mmddom=off&sousdom=SHSE,Page spécifique,,300,,university,Mise en ligne de revues scientifiques (SHS) réalisée par L'INIST. Texte intégral des articles en pdf.,Sciences sociales ; Revues en ligne ; INIST ; France,Social Sciences ; Online Journals ; France,INIST - CNRS,fre,ZZ,10,10,DG,
